y_test_pred,y_test_pred_rounded,y_test
3.694068,4.0,3
3.6204858,4.0,5
3.8626654,4.0,5
3.708869,4.0,4
3.717634,4.0,3
3.4071715,3.0,4
3.13231,3.0,4
3.5110998,4.0,3
3.881023,4.0,5
3.6028209,4.0,5
3.7046268,4.0,3
3.6711276,4.0,2
2.835922,3.0,4
3.436814,3.0,3
3.743347,4.0,5
3.4548154,3.0,3
3.5975,4.0,4
3.457842,3.0,5
3.5091136,4.0,5
3.5467706,4.0,5
3.6145666,4.0,4
3.665271,4.0,5
3.420842,3.0,5
3.7003086,4.0,4
3.3051755,3.0,4
3.6794147,4.0,4
3.6189303,4.0,4
3.3354223,3.0,1
3.5098953,4.0,5
3.253673,3.0,5
2.978159,3.0,5
3.4712467,3.0,4
3.4104357,3.0,3
3.3339858,3.0,2
3.6868865,4.0,4
3.8247633,4.0,4
3.7038734,4.0,4
3.6427326,4.0,4
3.745366,4.0,3
3.1949034,3.0,2
3.2636695,3.0,4
3.4007788,3.0,4
3.8288817,4.0,4
3.82765,4.0,3
3.4937863,3.0,3
3.3267074,3.0,5
3.783957,4.0,1
3.7821987,4.0,5
3.947136,4.0,4
3.6516135,4.0,3
3.6822405,4.0,4
3.1246967,3.0,1
3.7098985,4.0,2
3.2126389,3.0,3
3.8582914,4.0,2
3.2636302,3.0,1
3.6145756,4.0,4
3.3003857,3.0,4
3.599957,4.0,3
3.3808122,3.0,4
3.457842,3.0,4
3.2038624,3.0,2
3.922874,4.0,4
3.232431,3.0,2
3.3636534,3.0,4
3.651441,4.0,2
3.3866444,3.0,4
3.3009386,3.0,5
3.615604,4.0,4
3.3903284,3.0,4
4.040221,4.0,5
3.656851,4.0,4
3.457669,3.0,4
3.3187358,3.0,4
3.9596698,4.0,3
3.7289696,4.0,5
3.595094,4.0,4
3.751124,4.0,4
3.5013137,4.0,3
4.1457453,4.0,4
3.73775,4.0,4
3.7919123,4.0,3
3.0941908,3.0,2
3.9021444,4.0,4
3.7411556,4.0,5
3.6699536,4.0,4
3.4148765,3.0,2
3.7341273,4.0,3
3.576151,4.0,4
3.168376,3.0,3
3.4727826,3.0,4
3.4700623,3.0,1
3.4641228,3.0,4
3.7998466,4.0,4
2.7448869,3.0,3
3.709361,4.0,3
3.4335716,3.0,5
3.4452715,3.0,4
3.4818776,3.0,4
3.3499353,3.0,5
